Domain,Summary,Description,Path,Method,Client,Staff,Directory,Internal
platform_administration,Delete Staff Member,Delete Staff Member,/platform/v1/businesses/{business_uid}/staffs/{staff_uid},DELETE,,Y,Y,
platform_administration,End Staff Member active sessions,End Staff Member active sessions and log out from browser,/platform/v1/businesses/{business_uid}/staffs/{staff_uid}/sessions,DELETE,,Y,Y,
platform_administration,Gets a list of wizards,Gets a list of available wizards.,/platform/v1/businesses/{business_uid}/wizards,GET,,Y,Y,
platform_administration,Gets a wizard by name,Gets a wizard by given name.,/platform/v1/businesses/{business_uid}/wizards/{wizard_name},GET,,,Y,
platform_administration,Update a wizard,Update a wizard with given name,/platform/v1/businesses/{business_uid}/wizards/{wizard_name},PUT,,Y,Y,
platform_administration,Get Staff List [Alpha],Get Staff List [Alpha].,/platform/v1/scheduling/staff,GET,,Y,,
platform_administration,Get Staff By ID [Alpha],Get Staff By ID [Alpha].,/platform/v1/scheduling/staff/{staff_uid},GET,,Y,,
platform_administration,Get Automation Flows,Retrieves automation flows for a business. This endpoint redirects to the correct automation flows API.,/platform/v1/business/jobber/flows,GET,,Y,Y,
platform_administration,Get Next Execution Time,"Retrieves the next scheduled execution time for a specific automation flow rule. This endpoint is useful for displaying when an automation will next run, allowing users to see upcoming execution times.",/platform/v1/business/jobber/executions,GET,,Y,Y,
platform_administration,List all Offerings,List all Offerings in scope.,/v3/license/offerings,GET,,Y,Y,Y
platform_administration,Create an Offering,Create a new Offering.,/v3/license/offerings,POST,,,,Y
platform_administration,Retrieve an Offering,Retrieve an Offering by its unique identifier.,/v3/license/offerings/{uid},GET,,Y,Y,Y
platform_administration,Update an Offering,Update an Offering.,/v3/license/offerings/{uid},PUT,,,,Y
platform_administration,Delete an Offering (Not implemented yet,Delete an Offering,/v3/license/offerings/{uid},DELETE,,,,Y
platform_administration,List all DirectoryOfferings,List all DirectoryOfferings in scope.,/v3/license/directory_offerings,GET,,,,Y
platform_administration,Create a DirectoryOffering,Create a new DirectoryOffering for a specific partner and Offering.,/v3/license/directory_offerings,POST,,,,Y
platform_administration,Retrieve a DirectoryOffering,Retrieve a DirectoryOffering.,/v3/license/directory_offerings/{uid},GET,,,,Y
platform_administration,Delete a DirectoryOffering,Delete a DirectoryOffering.,/v3/license/directory_offerings/{uid},DELETE,,,,Y
platform_administration,List all BundledOfferings,List all BundledOfferings in scope.,/v3/license/bundled_offerings,GET,,Y,Y,Y
platform_administration,Create a BundledOffering,"Create a new BundledOffering that links a parent offering with a child offering. When a customer purchases the parent offering, the bundled (child) offering is automatically included.",/v3/license/bundled_offerings,POST,,,,Y
platform_administration,Bulk create BundledOfferings,Create multiple BundledOfferings for an Offering,/v3/license/bundled_offerings/bulk,POST,,,,Y
platform_administration,Delete a BundledOffering,Delete a BundledOffering,/v3/license/bundled_offerings/{uid},DELETE,Y,Y,,Y
platform_administration,List all Subscriptions,List all Subscriptions in scope.,/v3/license/subscriptions,GET,,Y,Y,
platform_administration,Create a Subscription,Create a new Subscription for a business. Supports discounted and free plans using coupons.,/v3/license/subscriptions,POST,,Y,,
platform_administration,Retrieve a Subscription,Retrieve a Subscription by its unique identifier.,/v3/license/subscriptions/{uid},GET,,Y,Y,
platform_administration,Update a Subscription,Update a Subscription (cancel/expire),/v3/license/subscriptions/{uid},PUT,,Y,Y,Y
platform_administration,Create a BusinessCart,Create a new BusinessCart for the business.,/v3/license/business_carts,POST,,Y,,
platform_administration,Retrieve a BusinessCart,Retrieve a BusinessCart.,/v3/license/business_carts/{uid},GET,,Y,,
platform_administration,List all SKUs,List all SKUs in scope.,/v3/license/skus,GET,,,,Y
platform_administration,Get all Features Packages,Retrieve a list of Features Packages.,/v3/license/features_packages,GET,,,,
platform_administration,Daily Staff Sign-ins,Get daily sign-in records for the business's staff members within a specified date range.,/business/staffs/v1/daily_staff_sign_ins,GET,,Y,Y,
platform_administration,Updates a staff's properties,Updates a staff's properties.,/business/staffs/v1/staffs/{uid},PUT,,,Y,
platform_administration,Retrieve a StaffMember,Retrieve a StaffMember.,/v3/business_administration/staff_members/{uid},GET,Y,Y,Y,
platform_administration,Update a StaffMember,Update a StaffMember.,/v3/business_administration/staff_members/{uid},PUT,,,,
platform_administration,Exchange Authorization Code for Access Token,Exchanges an OAuth Authorization Code for an Access Token. This endpoint is the final step in the OAuth 2.0 Authorization Code flow.,/oauth/token,POST,Y,Y,Y,
platform_administration,Get authenticated user info,Get authenticated user info.,/oauth/userinfo,GET,,Y,,
platform_administration,Get Online Profile,Retrieve the online profile for a specific business. This is a **public endpoint** that does not require authentication. Note: Returns 200 with null data even if business doesn't exist.,/v3/business_administration/online_profiles/{business_uid},GET,,Y,,
platform_administration,Get My Online Profile,Retrieve the online profile for the business associated with the authenticated token.,/v3/business_administration/online_profiles,GET,,Y,,
platform_administration,Create Online Profile,Create a new online profile for the business. Requires `can_access_admin_account?` permission.,/v3/business_administration/online_profiles,POST,,Y,,
platform_administration,Update Online Profile,with `can_access_admin_account?` permission Update an existing online profile.,/v3/business_administration/online_profiles/{uid},PUT,,Y,,
platform_administration,Account Creation,Create a new account under your directory. Most account details are cloned from an existing template to allow quick setup.,/v1/partners/accounts,POST,,,Y,
platform_administration,Account Manipulation,## Deprecated,/v1/partners/accounts/{business_uid}/change_package,GET,,,Y,
platform_administration,Set Setup Completed,"Mark an account's setup/onboarding as completed. This suspends the account's ""to do"" list (onboarding wizard).",/v1/partners/accounts/{business_uid}/set_setup_completed,POST,,,Y,
platform_administration,Add/Remove staff,## Deprecated,/v1/partners/accounts/{business_uid}/change_addons,GET,,,Y,
platform_administration,Close an Account,Close an existing account under your directory.,/v1/partners/accounts/{business_uid}/close,POST,,,Y,
platform_administration,Reopen an Account,Reopen a closed account under your directory.,/v1/partners/accounts/{business_uid}/reopen,POST,,,Y,
platform_administration,Lead Injection,Inject a lead into a business account under your directory.,/v1/partners/leads,POST,,,Y,
platform_administration,Business Info,"Query a business's basic information. If the email address already exists in our server you'll receive ""status:existing"".",/v1/partners/reports/business,GET,,,Y,
platform_administration,Engagements Report,Query for a list of all the conversations (a.k.a engagements) for a given date range. Conversations will be sorted by date of creation. The GET request will be answered by a JSON containing an array of engagement objects.,/v1/partners/reports/engagements,GET,,,Y,
platform_administration,Widget Impressions Report,Query for the number of impressions per day for a given date range. The GET request will be answered by a JSON of an array of impressions_daily objects. Each impressions_daily object provides information about the number of impressions we had for a specified business account.,/v1/partners/reports/impressions,GET,,,Y,
platform_administration,Create SSO Token,Create a one-time token for Single Sign On (SSO) login.,/v1/partners/sso/token,GET,,,Y,
platform_administration,Get relevant quick action lists per staff,"A quick action entity represents a configurable shortcut displayed in the staff's dashboard, allowing personalized access to key system functions.",/v3/business_administration/staff_quick_action_lists,GET,,Y,,
platform_administration,Update quick action lists for a specific staff member,Update the order and visibility of quick actions for a specific staff member.,/v3/business_administration/staff_quick_action_lists/{staff_uid},PUT,,Y,,
platform_administration,Get all BusinessRoles,Get a list of BusinessRoles,/v3/access_control/business_roles,GET,,Y,,
platform_administration,Create a BusinessRole,Create a new role for a business.,/v3/access_control/business_roles,POST,,Y,,
platform_administration,Retrieve a BusinessRole,Retrieve a specific BusinessRole  based on it’s unique identifier (UID),/v3/access_control/business_roles/{uid},GET,,Y,,
platform_administration,Update a BusinessRole,Create a new role for a business,/v3/access_control/business_roles/{uid},PUT,,Y,,
platform_administration,Delete a BusinessRole,Delete a specific BusinessRole  based on it’s unique identifier (UID),/v3/access_control/business_roles/{uid},DELETE,,Y,,
platform_administration,Get all Permissions,Get a list of Permissions.,/v3/access_control/permissions,GET,,Y,,
platform_administration,Get all StaffBusinessRoles,Get a list of StaffBusinessRoles,/v3/access_control/staff_business_roles,GET,,Y,,
platform_administration,Create a StaffBusinessRole,Create a new StaffBusinessRole for a staff,/v3/access_control/staff_business_roles,POST,,Y,,
platform_administration,Retrieve a StaffBusinessRole,Retrieve a StaffBusinessRole based on the unique identifier of staff_uid (staff_uid),/v3/access_control/staff_business_roles/{staff_uid},GET,,Y,,
platform_administration,Update a StaffBusinessRole,Update the business role for a staff member. **All overrides will be removed** and user will need to reapply them if the old role is reassigned. You can not change the role of the business owner.,/v3/access_control/staff_business_roles/{staff_uid},PUT,,Y,,
platform_administration,Retrieve a Staff Permissions Overrides List,Retrieve a StaffPermissionOverrideList based on a staff member's unique identifier (staff_uid),/v3/access_control/staff_permission_overrides_lists/{staff_uid},GET,,Y,,
platform_administration,Update a Staff Permissions Overrides List,Update a Staff Permission Overrides List based on staff UID and a list of permissions. The list supplied will append new permissions and override exsiting permissions assigned to this staff.,/v3/access_control/staff_permission_overrides_lists/{staff_uid},PUT,,Y,,
platform_administration,Remove all permission overrides,Removes all assigned overrides based on a staff member's unique identifier (staff_uid).,/v3/access_control/staff_permission_overrides_lists/{staff_uid},DELETE,,Y,,
platform_administration,Get all Staff Permission Overrides Lists,Get a list of all StaffPermissionOverrideList in the business (if used by a user that has permissions to view and manage permissions to staff in the business),/v3/access_control/staff_permission_overrides_lists/,GET,,Y,,
platform_administration,Get All StaffPermissions,"Get a list of staff Permissions. You must filter the list using a list of permissions keys
Used to validate if a user can or can not access features",/v3/access_control/staff_permissions/,GET,,Y,,
platform_administration,Gets business attributes,"Retrieve business attributes including business name, locale, time format, directory settings, and feature flags. This endpoint is primarily used by the frontend to configure the business dashboard.",/business/accounts/v1/attributes,GET,,Y,,
platform_administration,Gets the branding of the business,"Retrieve business branding, or directory branding when business branding is unavailable. Returns colors (primary, secondary, text), logo URL, and powered_by logos for whitelabel/co-branded configurations.",/business/accounts/v1/branding,GET,,Y,,
platform_administration,Get business identities,Retrieve business identities.,/business/accounts/v1/identities,GET,,,Y,
platform_administration,Update business identities,"Add business identities to optimize the business terminology, settings, and content.",/business/accounts/v1/identities,PUT,,,Y,
platform_administration,Remove business identities,Remove business identities to modify the business's occupational verticals.,/business/accounts/v1/identities,DELETE,,,Y,
platform_administration,Business account usage in the last 3 months,"Get an account's activity report for the <b>last 3 months</b>, including the following information: <ol> <li>Number of payments received</li> <li>Number of conversations started</li> <li>Number of bookings, including appointments booked and event attendance</li> <li>Number of campaigns created</l...",/business/accounts/v1/usage/last_3_months_activity,GET,,,,
reviews,Retrieve Business Reviews Settings,Get the reviews settings for a specific business.,/v3/reviews/business_reviews_settings/{business_uid},GET,,,,
reviews,Update Business Reviews Settings,Update the reviews settings for a specific business - Update the reviews settings for a specific business -,/v3/reviews/business_reviews_settings/{business_uid},PUT,,Y,,
reviews,Create Business Reviews Settings,Create new business reviews settings.,/v3/reviews/business_reviews_settings,POST,,,,
sales,Create Service,Creates a new service for the business. This is the write endpoint for services — the read-only list is at `GET /platform/v1/services`.,/v2/settings/services,POST,,Y,,
sales,Create Card Request,Creates a Card Request,/business/payments/v1/card_requests,POST,,Y,Y,
sales,Get Card Request,Gets a Card Request.,/business/payments/v1/card_requests/{client_uid},GET,,Y,,
sales,Update Card,Updates a Card,/business/payments/v1/cards/{uid},PUT,,Y,Y,
sales,Create Sale,Creates a Sale,/business/payments/v1/carts,POST,,Y,Y,
sales,Get Sale,Show specific sale data.,/business/payments/v1/carts/{uid},GET,Y,Y,Y,
sales,Cancel an open sale,Cancel a sale,/business/payments/v1/carts/{uid}/cancel,PUT,,Y,Y,
sales,Complete an open sale,Completes and finalizes the sale,/business/payments/v1/carts/{uid}/cart_completed,PUT,,Y,Y,
sales,Show Client Package [Alpha],"Retrieve detailed information for a specific client package (a package subscription assigned to a client). Returns the package's validity dates, pricing, active status, and booking credit balances showing how many credits have been used vs. remaining.",/business/payments/v1/client_packages/{uid},GET,,Y,Y,
sales,Update Client Package [Alpha],Update an existing client package subscription. Allows extending the validity period and adjusting credit allocations for the package's booking credits.,/business/payments/v1/client_packages/{uid},PUT,,Y,Y,
sales,Show Deposits List,Show list of deposits.,/business/payments/v1/deposits,GET,,Y,Y,
sales,Create Deposit,Creates a Deposit,/business/payments/v1/deposits,POST,,Y,Y,
sales,Show Deposit,Show specific deposit data.,/business/payments/v1/deposits/{uid},GET,,Y,,
sales,Update Deposit,Update specific deposit,/business/payments/v1/deposits/{uid},PUT,,Y,Y,
sales,Delete Deposit,Delete a specific deposit,/business/payments/v1/deposits/{uid},DELETE,,Y,Y,
sales,Create Estimate,Creates an Estimate,/business/payments/v1/estimates,POST,,Y,Y,
sales,Get Estimate,Fetch a specific estimate.,/business/payments/v1/estimates/{estimate_uid},GET,,Y,,
sales,update,update an existing estimate,/business/payments/v1/estimates/{estimate_uid},PUT,,Y,Y,
sales,Create Invoice,Creates an Invoice,/business/payments/v1/invoices,POST,,Y,Y,
sales,Get Invoice,Fetch a specific invoice.,/business/payments/v1/invoices/{invoice_uid},GET,,Y,,
sales,update,Update an existing invoice.,/business/payments/v1/invoices/{invoice_uid},PUT,,Y,Y,
sales,Cancel Invoice,Cancels an Invoice,/business/payments/v1/invoices/{invoice_uid}/cancel,PUT,,Y,Y,
sales,Reorder Catalog Packages [Alpha],Set the display order of package catalog templates. Controls the sequence in which packages appear in the business's package catalog and client-facing portal.,/business/payments/v1/packages/reorder,PUT,,Y,Y,
sales,GET Payment Requests List,GET Payment Requests List.,/business/payments/v1/payment_requests,GET,,Y,Y,
sales,Send payment request link,Send payment request link,/business/payments/v1/payment_requests/{payment_request_uid}/send_link,POST,,Y,,
sales,GET Payment Request,GET Payment Request.,/business/payments/v1/payment_requests/{payment_request_uid},GET,,Y,,
sales,update,update an existing payment request,/business/payments/v1/payment_requests/{payment_request_uid},PUT,,Y,Y,
sales,List Payments,List Payments.,/business/payments/v1/payments,GET,,Y,,
sales,Get Payment,Get Payment.,/business/payments/v1/payments/{payment_uid},GET,,Y,,
sales,Update Payment,Update Payment,/business/payments/v1/payments/{payment_uid},PUT,,Y,Y,
sales,Create Payout,Creates a Payout,/business/payments/v1/payouts,POST,,Y,Y,
sales,Get Payout,Gets a Payout.,/business/payments/v1/payouts/{provider_payout_id},GET,Y,Y,Y,
sales,Update Payout,Updates a Payout,/business/payments/v1/payouts/{provider_payout_id},PUT,,Y,Y,
sales,Create Product Order,Creates a Product Order.,/business/payments/v1/product_orders,POST,,Y,,Y
sales,Get Product Order,Gets a Product Order.,/business/payments/v1/product_orders/{product_order_uid},GET,,Y,,
sales,Update Product Order,Updates a Product Order.,/business/payments/v1/product_orders/{product_order_uid},PUT,,Y,,Y
sales,Get Products List,Get Products List.,/business/payments/v1/products,GET,,Y,,
sales,Create Product,"Each business has a limit of 8,500 products.",/business/payments/v1/products,POST,,Y,,Y
sales,Get Product [Alpha],Get Product [Alpha].,/business/payments/v1/products/{product_uid},GET,,Y,,
sales,Update Product,Update Product.,/business/payments/v1/products/{product_uid},PUT,,Y,,Y
sales,Remove Product [Alpha],Remove Product [Alpha].,/business/payments/v1/products/{product_uid},DELETE,,Y,,Y
sales,Create Refund,Creates a Refund,/business/payments/v1/refunds,POST,,Y,Y,
sales,Get list of Scheduled Payment Rules,Get a list of Scheduled Payment Rules.,/business/payments/v1/scheduled_payments_rules,GET,,Y,,
sales,Create Scheduled Payment Rule,Creates a Scheduled Payment Rule,/business/payments/v1/scheduled_payments_rules,POST,,Y,Y,
sales,Cancel Recurring Payments Rule,Cancels a Recurring Payments Rule,/business/payments/v1/scheduled_payments_rules/{uid}/cancel,PUT,,Y,Y,
sales,Get Scheduled Payment Rule,Gets a Scheduled Payment Rule.,/business/payments/v1/scheduled_payments_rules/{uid},GET,,Y,,
sales,Update Scheduled Payment Rule,Updates a Scheduled Payment Rule,/business/payments/v1/scheduled_payments_rules/{uid},PUT,,Y,Y,
sales,Create Multiple Taxes,Creates some taxes.,/business/payments/v1/tax_bulk,POST,,Y,,Y
sales,Update Multiple Taxes,Updates some taxes.,/business/payments/v1/tax_bulk,PUT,,Y,,Y
sales,Delete Multiple Taxes,Deletes some taxes.,/business/payments/v1/tax_bulk,DELETE,,Y,,Y
sales,Apply Default Taxes,Apply default taxes on items (Services/Products/Booking Packages) that don't have any taxes configured.,/business/payments/v1/tax_bulk/apply_defaults,PUT,,Y,,Y
sales,Get Taxes List [Alpha],Get Taxes List [Alpha].,/business/payments/v1/taxes,GET,,Y,,
sales,Create Tax [Alpha],Create Tax [Alpha].,/business/payments/v1/taxes,POST,,Y,,Y
sales,Get Tax [Alpha],Get Tax [Alpha].,/business/payments/v1/taxes/{tax_uid},GET,,Y,,
sales,Update Tax [Alpha],Update Tax [Alpha].,/business/payments/v1/taxes/{tax_uid},PUT,,Y,,Y
sales,Remove Tax [Alpha],Remove Tax [Alpha].,/business/payments/v1/taxes/{tax_uid},DELETE,,Y,,Y
sales,Create Transaction,Creates a Transaction,/business/payments/v1/transactions,POST,,Y,Y,
sales,Get Transaction,Gets a Transaction.,/business/payments/v1/transactions/{provider_transaction_id},GET,Y,Y,Y,
sales,Update Transaction,Updates a Transaction,/business/payments/v1/transactions/{provider_transaction_id},PUT,,Y,Y,
sales,Creates a lead,Creates a lead,/platform/v1/leadgen,POST,,Y,Y,
sales,Get Payments List,Get Payments List.,/platform/v1/payments,GET,,Y,,
sales,Create New Payment,Create New Payment.,/platform/v1/payments,POST,,Y,Y,
sales,Get Payment by ID,Get Payment by ID.,/platform/v1/payments/{payment_uid},GET,,Y,,
sales,Match Payment,Match Payment,/platform/v1/payments/{payment_uid}/match,POST,,Y,Y,
sales,Get Invoices List,Get Invoices List.,/platform/v1/invoices,GET,,,Y,
sales,Create New Invoice,Create New Invoice.,/platform/v1/invoices,POST,,,Y,
sales,Get Invoice By ID,Get Invoice By ID.,/platform/v1/invoices/{invoice_id},GET,Y,Y,Y,
sales,Create sync card,Create sync card,/platform/v1/payment/cards/sync_card,POST,,Y,Y,
sales,Delete saved card,Delete saved card,/platform/v1/payment/cards/{card_id},DELETE,,Y,Y,
sales,Update Payment Checkout (Webhook),This webhook endpoint is called by payment gateways to notify about completed checkout sessions. Requires app token authentication and valid checkout data.,/platform/v1/payment/checkout/,PUT,,,,
sales,Get Open Checkout For Specific url_key,Get Open Checkout For Specific url_key.,/platform/v1/payment/checkout/{url_key},GET,Y,Y,Y,
sales,Create Client Package,"Create a Client Package — assigns a payment package to a specific client, creating a subscription-like record with optional validity dates and custom pricing.",/platform/v1/payment/client_packages,POST,,,,
sales,Cancel Credit Redemption [Alpha],"Reverse a previous package credit redemption, restoring the consumed credit back to the client's package. This is the undo operation for `POST /platform/v1/payment/client_packages/update_usage`.",/platform/v1/payment/client_packages/cancel_redemption,PUT,,Y,,
sales,Use Client Package Credit [Alpha],Redeem a credit from a client's active package to pay for an appointment or service session. This marks the associated payment status as paid (price set to $0) and decrements one credit from the client's package.,/platform/v1/payment/client_packages/update_usage,POST,,Y,,
sales,List Catalog Packages,"Retrieve a list of package catalog templates for the business. A package is a reusable template that defines a bundle of services and/or products a client can purchase, including pricing, included credits, and a default validity period.",/platform/v1/payment/packages,GET,,Y,,
sales,Create Catalog Package,"Create a new package catalog template for the business. A package defines a bundle of services and/or products that can be sold to clients, including pricing, credit allocations per service group, and a default validity period that determines how long client subscriptions last.",/platform/v1/payment/packages,POST,,Y,,
sales,Show Catalog Package Details,"Retrieve detailed information for a single package catalog template, including its items (service/product groups), pricing, expiration settings, and active status.",/platform/v1/payment/packages/{package_id},GET,,Y,,
sales,Update Catalog Package [Alpha],"Update an existing package catalog template. You can modify pricing, name, description, expiration settings, items, and active status. Changes to the catalog template do NOT retroactively affect already-created client packages — those retain the values they were assigned at creation.",/platform/v1/payment/packages/{package_id},PUT,,Y,,
sales,Get Current Payment Settings,Get Current Payment Settings.,/platform/v1/payment/settings,GET,,Y,,
sales,Update Payment Settings,Update Payment Settings,/platform/v1/payment/settings,POST,,Y,Y,
sales,Update Default Currency,Update Default Currency,/platform/v1/payment/settings/update_default_currency,PUT,,Y,Y,
sales,Apply Coupon,"Applies a coupon code to a payment status, reducing the amount due. The payment status must reference a coupon-eligible entity type: `Meeting`, `EventAttendance`, `PendingBooking`, or `Cart`. Payment statuses for other entity types (e.g., `Invoice`, `ClientBookingPackage`, `ProductOrder`) will re...",/platform/v1/payment_statuses/{id}/apply_coupon,PUT,,Y,Y,
sales,Validate Coupon,Validates whether a coupon code can be applied to a payment status without actually applying it.,/platform/v1/payment_statuses/{id}/validate_coupon,GET,,Y,Y,
sales,Get Services List,Get services list.,/platform/v1/services,GET,,Y,,
sales,Get Services Availability,Get services availability.,/platform/v1/services/availability,GET,Y,Y,Y,
sales,Get Service Details,Get specific service details.,/platform/v1/services/{service_uid},GET,Y,Y,Y,
sales,Get Service Specific Availability,Get specific service availability.,/platform/v1/services/{service_uid}/availability,GET,Y,Y,Y,
sales,Get Client Payment Cards,Retrieve all payment cards for a client.,/platform/v1/clients/payment/cards,GET,Y,,,
sales,Get Client Payment Cards (Staff Access),Retrieve all payment cards for a specific client.,/platform/v1/clients/{client_id}/payment/cards,GET,,Y,,
sales,List stored Payment Cards,Returns stored payment cards for a client.,/v3/payments/client_payment_cards,GET,Y,Y,,
sales,Retrieve Payments Widget Data,"Fetch summarized data for the Payments widget, including total payments, overdue payments, and pending estimates. This endpoint is accessible with **Staff Tokens** only.",/v3/sales/reports/payments_widget,GET,Y,Y,Y,
sales,Retrieve Payments Forecast Data,"Fetch detailed data for the Payments forecast widget, providing predictions of future payments on a month-by-month basis. This endpoint is accessible with **Staff Tokens** only.",/v3/sales/reports/forecast_payments,GET,Y,Y,Y,
sales,Get all Credit Notes,Get a list of credit notes with pagination.,/v3/payments/credit_notes,GET,,,,
sales,Create a Credit Note,"Creates and issues a new credit note against an existing invoice. The credit note is immediately issued (no draft status). The service validates that the credit amount doesn't exceed the invoice's remaining creditable balance, generates EN 16931-compliant XML, stores it in S3, and publishes a `bi...",/v3/payments/credit_notes,POST,Y,Y,Y,
sales,Retrieve a Credit Note,Retrieves the details of a specific credit note by its UID.,/v3/payments/credit_notes/{uid},GET,Y,Y,Y,
sales,Get all PaymentGateways,Retrieve all available payment gateways -,/v3/payment_processing/payment_gateways,GET,Y,Y,Y,
sales,Create a PaymentGateway,Create a new payment gateway -,/v3/payment_processing/payment_gateways,POST,,,Y,
sales,Retrieve a PaymentGateway,Get details of a specific payment gateway -,/v3/payment_processing/payment_gateways/{uid},GET,,Y,Y,
sales,Update a PaymentGateway,Update an existing payment gateway -,/v3/payment_processing/payment_gateways/{uid},PUT,,,Y,
sales,Delete a PaymentGateway,Delete an existing payment gateway -,/v3/payment_processing/payment_gateways/{uid},DELETE,,,Y,
sales,Create a PaymentGatewayAssignment,Assign a payment gateway to a directory -,/v3/payment_processing/payment_gateway_assignments,POST,,,Y,
sales,Get Estimates List,Returns a list of estimates for the business.,/platform/v1/estimates,GET,,Y,,
sales,List Coupons,**DEPRECATED** - Use the v3 alternative `GET /v3/sales/coupons` instead.,/v2/coupons,GET,,Y,,
sales,Create Coupon,Creates a new coupon for the business.,/v2/coupons,POST,,Y,,
sales,Get Valid Coupons for Entity,**DEPRECATED** - Use the v3 alternative `GET /v3/sales/coupons` instead.,/v2/coupons/valid_coupons,GET,,Y,,
sales,Remove Coupon from Entity,"Removes a previously applied coupon from an entity (payment, appointment, or event attendance).",/v2/coupons/remove,POST,,Y,,
sales,Get Coupon,**DEPRECATED** - Use the v3 alternative `GET /v3/sales/coupons` instead.,/v2/coupons/{uid},GET,,Y,,
sales,Update Coupon,Updates an existing coupon.,/v2/coupons/{uid},PUT,,Y,,
sales,Delete Coupon,Deletes a coupon.,/v2/coupons/{uid},DELETE,,Y,,
sales,Expire Coupon,"Manually expires an active coupon, making it no longer redeemable.",/v2/coupons/{uid}/expire,POST,,Y,,
sales,Enable Coupon,"Enables a previously disabled coupon, making it redeemable again.",/v2/coupons/{uid}/enable,POST,,Y,,
sales,Disable Coupon,"Disables an active coupon, temporarily preventing it from being redeemed.",/v2/coupons/{uid}/disable,POST,,Y,,
sales,Apply Coupon to Entity,"Applies a coupon to a specific entity (payment, appointment, or event attendance), granting the associated discount.",/v2/coupons/{uid}/apply,POST,,Y,,
sales,Create an Invoice,Create a new invoice,/v3/payments/invoices,POST,,Y,,
sales,Update an Invoice,Update an existing invoice,/v3/payments/invoices/{uid},PUT,,Y,,
sales,Get all Coupons,Get a list of Coupons.,/v3/sales/coupons,GET,,Y,,
scheduling,Get Appointments List,"Retrieves a paginated list of appointments for the business. Supports filtering by client, appointment state, and sorting.",/platform/v1/scheduling/appointments,GET,,Y,Y,
scheduling,Get Appointment,Get appointment details by ID.,/platform/v1/scheduling/appointments/{appointment_id},GET,,Y,Y,
scheduling,Get Bookings [Alpha] ,Get bookings of the authenticated client. Returns a paginated list of the client's appointments and event registrations.,/platform/v1/scheduling/bookings,GET,Y,,,
scheduling,Create New Booking [Alpha],Creates a booking for either an appointment with a staff member or registration for a group event.,/platform/v1/scheduling/bookings,POST,Y,Y,,
scheduling,Cancel a Booking [Alpha],Cancel booking,/platform/v1/scheduling/bookings/cancel,POST,Y,Y,Y,
scheduling,Update RSVP state,Update RSVP state for a booking.,/platform/v1/scheduling/bookings/{booking_uid}/update_rsvp_state,PUT,Y,,,
scheduling,Get Event Attendance,Get Event attendance details for a specific event attendance record.,/platform/v1/scheduling/event_attendances/{event_attendance_uid},GET,,Y,Y,
scheduling,Get Event Instance,Get Event Instance Details.,/platform/v1/scheduling/event_instance/{event_instance_id},GET,Y,Y,Y,
scheduling,Create event Waitlist,Join an event waitlist.,/platform/v1/scheduling/waitlist,POST,Y,Y,Y,
scheduling,Cancel a Waitlist registration,Cancel a waitlist registration.,/platform/v1/scheduling/waitlist/cancel,PUT,Y,,,
scheduling,Get Staff Availability,"Returns available time slots for one or more staff members. The endpoint considers staff weekly availability schedules, calendar sync conflicts, blocked times, and existing bookings to compute open appointment or event slots.",/platform/v1/staff/availability,GET,Y,Y,Y,
scheduling,Get all AvailabilitySlots,"This endpoint returns available time slots for booking appointments. It considers staff schedules, resource availability, existing bookings, and business hours to compute open slots.",/v3/scheduling/availability_slots,GET,Y,Y,Y,
scheduling,Get all ResourceTypes,"Get a list of resource types for a business, with pagination.",/v3/scheduling/resource_types,GET,Y,Y,Y,
scheduling,Create a ResourceType,Create a new resource type,/v3/scheduling/resource_types,POST,,Y,,
scheduling,Retrieve a ResourceType,Get a specific resource type by UID.,/v3/scheduling/resource_types/{uid},GET,Y,Y,Y,
scheduling,Update a ResourceType,Update a resource type's properties,/v3/scheduling/resource_types/{uid},PUT,,Y,,
scheduling,Delete a ResourceType,Delete a resource type. Deletes all associated resources,/v3/scheduling/resource_types/{uid},DELETE,,Y,,
scheduling,Get all Resources,"Get all resources, with pagination and filtering by resource type or service.",/v3/scheduling/resources,GET,,Y,,
scheduling,Create a Resource,Create a new resource,/v3/scheduling/resources,POST,,Y,,
scheduling,Retrieve a Resource,Get a specific resource by UID.,/v3/scheduling/resources/{uid},GET,Y,Y,Y,
scheduling,Update a Resource,Update a resource's properties,/v3/scheduling/resources/{uid},PUT,,Y,,
scheduling,Delete a Resource,Soft-delete a resource,/v3/scheduling/resources/{uid},DELETE,,Y,,
scheduling,Create New Booking [Business],Create a new booking (appointment or event attendance).,/business/scheduling/v1/bookings,POST,,Y,Y,
scheduling,Accept a Booking [Business],Accept a pending booking.,/business/scheduling/v1/bookings/accept,POST,,Y,Y,
scheduling,Cancel a Booking [Business],Cancel an existing booking.,/business/scheduling/v1/bookings/cancel,PUT,,Y,Y,
scheduling,Mark booking as no show,Mark a booking as completed or no-show.,/business/scheduling/v1/bookings/complete,POST,,Y,Y,
scheduling,Update Booking Details [Business],"Update booking details including start time, staff, and notes.",/business/scheduling/v1/bookings/{booking_id},PUT,,Y,Y,
scheduling,External app bulk create external items,Bulk create or update external calendar items.,/business/scheduling/v1/external_calendar_items/bulk_create,PUT,,Y,Y,
